Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
18.06.2018;20:01:53;901146;925403;-2.656;149;25;0;100;1217
18.06.2018;20:01:54;901182;925443;-2.657;149;25;0;100;-749
18.06.2018;20:01:55;901180;925432;-2.656;149;25;0;100;2211
18.06.2018;20:01:56;901147;925405;-2.656;149;25;0;100;-1702
18.06.2018;20:01:57;901063;925318;-2.656;149;25;0;100;183
18.06.2018;20:01:58;901095;925354;-2.657;149;25;0;100;-776
18.06.2018;20:01:59;901102;925356;-2.656;149;25;0;100;1282
18.06.2018;20:02:00;901097;925345;-2.655;150;25;0;100;1440
18.06.2018;20:02:01;900981;925236;-2.656;150;25;0;100;-2485
18.06.2018;20:02:02;901034;925287;-2.656;149;25;0;100;847
18.06.2018;20:02:03;901027;925277;-2.656;149;25;0;100;695
18.06.2018;20:02:04;900999;925249;-2.656;149;25;0;100;-186
18.06.2018;20:02:05;901026;925278;-2.656;149;25;0;100;-315
18.06.2018;20:02:06;901028;925274;-2.655;149;25;0;100;1496
18.06.2018;20:02:07;900991;925234;-2.655;149;25;0;100;495
18.06.2018;20:02:08;901093;925336;-2.655;149;25;0;100;678
18.06.2018;20:02:09;901141;925392;-2.656;149;25;0;100;-1658
18.06.2018;20:02:10;901170;925415;-2.655;149;25;0;100;1676
18.06.2018;20:02:11;901001;925240;-2.655;149;25;0;100;359
18.06.2018;20:02:12;901069;925314;-2.655;149;25;0;100;-1031
18.06.2018;20:02:13;900997;925239;-2.655;149;25;0;100;263
18.06.2018;20:02:14;900964;925201;-2.655;149;25;0;100;1017
18.06.2018;20:02:15;901031;925266;-2.654;149;25;0;100;940
18.06.2018;20:02:16;900970;925200;-2.654;149;25;0;100;830
18.06.2018;20:02:17;900962;925191;-2.654;149;25;0;100;194
18.06.2018;20:02:18;900890;925119;-2.654;149;25;0;100;-479
18.06.2018;20:02:19;901003;925232;-2.654;149;25;0;100;751
18.06.2018;20:02:20;900982;925219;-2.655;149;25;0;100;-2117
18.06.2018;20:02:21;901121;925356;-2.654;149;25;0;100;1419
18.06.2018;20:02:22;901017;925244;-2.653;149;25;0;100;1286
18.06.2018;20:02:23;901070;925303;-2.654;149;25;0;100;-1131
18.06.2018;20:02:24;901024;925253;-2.654;149;25;0;100;683
18.06.2018;20:02:25;901037;925267;-2.654;149;25;0;100;-161
18.06.2018;20:02:26;900979;925198;-2.653;149;25;0;100;2334
18.06.2018;20:02:27;900999;925217;-2.652;150;25;0;100;378
18.06.2018;20:02:28;900971;925185;-2.652;150;25;0;100;797
18.06.2018;20:02:29;901025;925241;-2.652;150;25;0;100;-135
18.06.2018;20:02:30;900970;925175;-2.651;150;25;0;100;2338
18.06.2018;20:02:31;900970;925177;-2.651;150;25;0;100;-491
18.06.2018;20:02:32;900989;925198;-2.651;149;25;0;100;-368
18.06.2018;20:02:33;900986;925188;-2.651;149;25;0;100;1711
18.06.2018;20:02:34;901039;925242;-2.651;149;25;0;100;105
18.06.2018;20:02:35;901013;925213;-2.65;149;25;0;100;569
18.06.2018;20:02:36;901109;925307;-2.65;149;25;0;100;1132
18.06.2018;20:02:37;901032;925226;-2.65;149;25;0;100;478
18.06.2018;20:02:38;901018;925209;-2.649;149;25;0;100;649
18.06.2018;20:02:39;901080;925272;-2.649;150;25;0;100;163
18.06.2018;20:02:40;901067;925265;-2.65;150;25;0;100;-1559
18.06.2018;20:02:41;900946;925144;-2.65;150;25;0;100;-798
18.06.2018;20:02:42;901078;925282;-2.651;150;25;0;100;-603
18.06.2018;20:02:43;901068;925278;-2.651;150;25;0;100;-1539
18.06.2018;20:02:44;901013;925226;-2.652;149;25;0;100;-1107
18.06.2018;20:02:45;901034;925249;-2.652;150;25;0;100;-353
18.06.2018;20:02:46;901073;925293;-2.652;149;25;0;100;-977
18.06.2018;20:02:47;901184;925403;-2.652;149;25;0;100;985
18.06.2018;20:02:48;901090;925311;-2.652;149;25;0;100;-1119
18.06.2018;20:02:49;901196;925419;-2.652;149;25;0;100;210
18.06.2018;20:02:50;901070;925292;-2.653;149;25;0;100;-590
18.06.2018;20:02:51;901148;925377;-2.653;149;25;0;100;-1212
18.06.2018;20:02:52;901115;925347;-2.654;149;25;0;100;-961
18.06.2018;20:02:53;901061;925283;-2.653;150;25;0;100;2099
18.06.2018;20:02:54;901047;925272;-2.653;150;25;0;100;-829
18.06.2018;20:02:55;901088;925312;-2.653;149;25;0;100;520
18.06.2018;20:02:56;901107;925335;-2.653;149;25;0;100;-862
18.06.2018;20:02:57;901144;925372;-2.653;149;25;0;100;246
18.06.2018;20:02:58;901080;925308;-2.653;149;25;0;100;-425
18.06.2018;20:02:59;901028;925250;-2.653;149;25;0;100;1138
18.06.2018;20:03:00;901075;925293;-2.652;149;25;0;100;1301
18.06.2018;20:03:01;901073;925299;-2.653;149;25;0;100;-1991
18.06.2018;20:03:02;901067;925287;-2.652;149;25;0;100;1443
18.06.2018;20:03:03;901142;925362;-2.652;149;25;0;100;498
18.06.2018;20:03:04;901008;925225;-2.652;149;25;0;100;-149
18.06.2018;20:03:05;901119;925343;-2.653;149;25;0;100;-993
18.06.2018;20:03:06;901040;925262;-2.653;149;25;0;100;-31
18.06.2018;20:03:07;901087;925310;-2.653;149;25;0;100;65
18.06.2018;20:03:08;901064;925285;-2.653;149;25;0;100;342
18.06.2018;20:03:09;901091;925309;-2.652;149;25;0;100;921
18.06.2018;20:03:10;901131;925354;-2.653;149;25;0;100;-970
18.06.2018;20:03:11;901166;925378;-2.651;149;25;0;100;2951
18.06.2018;20:03:12;901100;925314;-2.652;149;25;0;100;-933
18.06.2018;20:03:13;900998;925210;-2.652;149;25;0;100;-183
18.06.2018;20:03:14;901067;925281;-2.652;149;25;0;100;-36
18.06.2018;20:03:15;901129;925342;-2.651;149;25;0;100;659
18.06.2018;20:03:16;901082;925296;-2.652;149;25;0;100;-559
18.06.2018;20:03:17;901098;925309;-2.651;149;25;0;100;848
18.06.2018;20:03:18;901118;925328;-2.651;149;25;0;100;380
18.06.2018;20:03:19;901019;925237;-2.652;150;25;0;100;-2618
18.06.2018;20:03:20;901078;925280;-2.65;150;25;0;100;4318
18.06.2018;20:03:21;901081;925282;-2.65;150;25;0;100;265
18.06.2018;20:03:22;901086;925293;-2.651;150;25;0;100;-1440
18.06.2018;20:03:23;901039;925241;-2.651;150;25;0;100;918
18.06.2018;20:03:24;901006;925208;-2.651;150;25;0;100;-218
18.06.2018;20:03:25;900931;925130;-2.651;150;25;0;100;242
18.06.2018;20:03:26;900931;925127;-2.65;150;25;0;100;737
18.06.2018;20:03:27;900983;925178;-2.65;150;25;0;100;589
18.06.2018;20:03:28;900996;925188;-2.65;150;25;0;100;822
18.06.2018;20:03:29;900917;925108;-2.65;150;25;0;100;-275
